,year,subject,content
1595,2013,12 months post-doctorate in electronic imaging and robotic vision to femto-st-besançon,"a post-doctoral position for 12 months is open to recruitment as early 
as possible in the department of automatic control and micromechatronics 
at femto-st in besancon, france. it covers issues calibration of 
scanning electron microscopes for the visual servo control of micro-nano 
robots. it is part of a 4-year project on the characterization of 
micro-nano structures for opto-electronics. the project has four 
partners (femto-st-besançon, isir-paris-rennes irisa, lpn, marcoussis), 
and is funded by the agence nationale de la recherche, france.
the basic requirements include mastering of projection models and 
distortion, control of computing these models, programming skills in c + 
+ and matlab and level of motivation.

for information and application, contact sounkalo dembele:
sounkalo.dembele at univ-fcomte.fr
femto-st / as2m
24 rue alain savary
25000 besançon, france
http://www.femto-st.fr/fr/departements-de-recherche/as2m/

-- 
================
sounkalo dembélé
associate professor
university of franche comté
femto-st institute / as2m departement
24 rue savary, 25000 besançon france
tel. femto : +33 (0) 381 40 27 91
tel. ufc : +33 (0) 381 66 6240"
1596,2013,2 postdocs in corso's group at buffalo on robot vision for navigation and interaction,"applications are invited for two postdoctoral research associate
positions in professor jason corso’s research group in computer
science and engineering at suny at buffalo.  the research area is
video understanding and search for robot navigation, interaction and
understanding.



post-doc 1: joint segmentation and recognition of activity in video

the goal of the research project is to study the role of segmentation
in high-level video understanding.  specifically, the project will
enable advanced activity recognition and video-to-text summarization
through joint activity recognition and segmentation.  the work will
study both surveillance footage and so-called videos-in-the-wild; it
will emphasize both event-level models as well as specific
shot-activity-recognition models.  the research will involve
supervoxel video over-segmentation, generatively and discriminatively
trained graphical models, and will emphasize human-specific actions.

the successful candidate will join this major effort involving
multiple senior investigators and 6 graduate students assistants and
play a critical role in making key research contributions. the
position is open to all us and non-us citizens who hold a ph.d. in
computer science, applied mathematics/statistics, electrical
engineering, or equivalent, have a strong publishing record in
top-notch conferences and journals, have a strong understanding of
computer vision, machine learning, and knowledge
representation/ontologies, are experienced programmer beyond matlab,
and have experience with unix platforms.


post-doc 2: human-in-the-loop methods for clustering and metric
learning for video search

the goal of the research project is to study human-in-the-loop and
active methods for clustering and metric learning in large-scale video
databases to facilitate search and retrieval of both set phenomena
(objects, actions, events) and ad hoc criteria set interactively by a
human user.  the work will investigate various active clustering and
semi-supervised metric learning methodologies with an emphasis on
novel methodologies.  more information about this project is available
at http://www.cse.buffalo.edu/~jcorso/r/ace/index.html

the successful candidate will join the pi and two graduate students
and play a critical role in making key research contributions. the
position is open to all us and non-us citizens who hold a ph.d. in
computer science, applied mathematics/statistics, electrical
engineering, or equivalent, have a strong publishing record in
top-notch conferences and journals, have a strong understanding of
computer vision, machine learning, and knowledge
representation/ontologies, are experienced programmer beyond matlab,
and have experience with unix platforms.


contact and general information:

jason corso  jcorso at buffalo.edu
http://www.cse.buffalo.edu/~jcorso


the candidates will have the opportunity to mentor graduate research assistants.

salaries are competitive.

dr. corso runs a research group of 1 research scientist, 1 post-doc,
12 ph.d. students, 3 masters students and 3 undergraduates.  he is pi
on major externally funded research projects all in the area of
high-level computer vision, data mining and machine learning.  his lab
is 1250+ square feet with ample computing resources, including an
in-house linux cluster, a 15tb san, and connectivity to the 2000+ node
center for computational research in downtown buffalo.  for both
openings, inquiries by e-mail (jcorso at buffalo.edu) are welcome before
a formal application.  an application requires a cv,
reprints/preprints, and the names of 3 references.


--
assistant professor
computer science and engineering
suny at buffalo

(e) jcorso at buffalo.edu
(w) http://www.cse.buffalo.edu/~jcorso
(o) 716-645-4754
(c) 716-208-3671
(f) 716-645-3464
(t) @profjasoncorso"
1597,2013,"3 postdoctoral positions in robotic surgery at boston children's hospital, harvard medical school","three highly qualified postdoctoral fellows are sought for the following
projects:

postdoctoral fellow #1 (robot mechanics & control) - this position is to
develop mechanics-based models and control algorithms for surgical robots.
strong mathematical and analytical skills are needed. it is expected that
the successful candidate will hold a phd in engineering, physics or
computer graphics and have experience in robot kinematics, dynamics and
control.

postdoctoral fellow #2 (robot sensing & control) - this position is to
develop the control and sensing functionality for a set of promising
clinical robotic applications. strong control, programming and system
integration skills are needed. the ability to work collaboratively with
clinicians is also important. it is expected that the successful candidate
will hold a phd in engineering or computer science.

postdoctoral fellow #3 (mri-powered millirobots) - this position will
involve creating robots that are powered, controlled and imaged with an
mri scanner. applicants must possess a strong background in dynamic
modeling, control theory and computer programming. experience in magnetic
actuation and prototype fabrication is highly desirable. it is expected
that the successful candidate will hold a phd in engineering, physics or
computer science.

our lab's mission is to embed creative young engineers and scientists in
the #1 us pediatric hospital. this ensures that we work on clinically
important problems and enables us to rapidly transition engineering
prototypes to a clinical setting for testing. more information on our lab
can be found at: http://robotics.tch.harvard.edu

qualified applicants should respond by email as soon as possible to prof.
pierre dupont (pierre.dupont at childrens.harvard.edu) with a description of
their qualifications, academic background, phd thesis, publications,
career goals and availability. initial appointments will be for one year
with the possibility of extension. postdoctoral appointments will be made
through harvard medical school.

pierre e. dupont
boston children's hospital
harvard medical school"
1598,2013,4-year post-doctoral research position in computational intelligence for its and robotics,"*post-doc researcher position (4 years)*

*job/fellowship reference:* cont_dout/68/uc/48/7255/2/2007
more information at: 
http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=32515
university of coimbra
institute of systems and robotics


*application deadline:* 12 fevereiro 2013
*
position responsibilities: *
in the context of various national and european research projects, 
isr-uc is looking for a postdoc who will work on computational 
intelligence/machine learning methods and algorithms for perceptual and 
cognitive information processing, for intelligent autonomous vehicles 
(iav) and its applications, and will supervise master and phd student 
projects in fields its and robotics fields, such as:

- multimodal sensory information processing for perceptual modules;
- pedestrian detection and scene understanding fusing on-board and 
off-board sensory data;
- 3d-slam in indoor and outdoor contexts; cooperative 3d-slam, semantic 
mapping;
- statistical learning applied in iv and its domains;
- intelligent semantic information retrieval in its domain.

the results will be used in intelligent autonomous vehicles and its 
traffic simulator settings for development of cooperative, perception 
and cognitive methods and algorithms for autonomous vehicles, advanced 
driver assistant systems and robotics. there is some flexibility in 
which the focus of the work will be laid and personal initiative is 
strongly encouraged. the research is carried out in an international 
context, which will enable the candidate to have interactions with other 
research teams in the field of intelligent vehicles and its in general. 
additionally, the candidates are expected to strengthen its-related 
research areas in isr-uc and to apply for research funds.

*requirements: *
candidates must have a phd in electrical and computer engineering, 
computer science, robotics, artificial intelligence or related field and 
at least 3 years post-doctoral research experience with a good record of 
publications. in exceptional cases, the fct may consider accepting 
candidates with less than 3 years of post-doctoral experience.leadership 
skills and experience in project coordination and post-graduation 
supervision are highly recommended. the ideal candidate will have good 
scientific knowledge and experience in some of the following areas: 
computer science, information processing, cognitive robotics, computer 
vision and real-time programming. candidates are expected to be 
experienced in programming in matlab, c++, in linux and real-time 
programming platforms.

*contract:*
the contract will have the duration of 48 months, with a trial period of 
30 days.

*financial conditions:*
the successful candidates will receive a competitive salary in 
accordance with the fct regulations, index 195 on the research career 
table, law 124/99, of 20th april, and law 64-b/2011, of 30th december. 
the annual gross income, before taxes, will be 2.931,13 or 2.037,42 
euros month, including social and security obligations, depending on the 
will of the candidate to be integrated in the job proposal under 
exclusivity or full time regime. yearly upgrades of the salary will be 
calculated according to national rules and taxes will be deduced 
according to the national law.

*applications formalization:*
*applications should be sent by email to urbano at deec.uc.pt by post,  or 
delivered at:*

professor urbano nunes
instituto de sistemas e robótica
departamento de engenharia electrotécnica e de computadores pólo ii - 
universidade de coimbra 3030-290  coimbra
homepage: http://www2.isr.uc.pt/~urbano/
isr-uc webpage: http://www.isr.uc.pt/"
1599,2013,"8 post-doc positions available at the university of zagreb, croatia ‒ centre of research excellence for advanced cooperative systems","8 post-doc positions available at the university of zagreb, croatia ‒ centre of research excellence for advanced cooperative systems (across)

 

dear colleagues,

 

the centre of research excellence for advanced cooperative systems (across) is launching an open call for applications to fill up to 8 post-doc positions. i kindly ask you to forward this email to people that might have an interest to apply.

 

the across  centre is an interdepartmental research centre at the university of zagreb, faculty of electrical engineering and computing. funded by the european fp-7 capacities ""research potential"" program, grant no. 285939, fp7-regpot-2011-1, the centre performs research in cooperative systems related to four strategic research domains: 1) cognitive and robotic systems, 2) networked embedded systems, 3) renewable energy systems, and, 4) cooperative control. 

 

details about the centre may be found at the across web site http://www.fer.unizg.hr/across and in the centre brochure http://across.fer.unizg.hr/_download/repository/across_brochure.pdf. 

 

we are looking for a self-motivated researchers to work in an exciting and challenging area of cooperative control and cognitive robotics. the general research topics are: 

1.       cooperative control, muiltiagent control

2.       cooperative mobile manipulation

3.       cooperative heterogeneous robotic systems

4.       robot embodiment in networked embedded environments

5.       human-robot cooperative systems

6.       robotic vision, dynamic scene analysis

 

the exact research topic of each new researcher will be chosen so as to match his/her experience aiming at maximum productivity. 

 

the job announcement is published at http://across.fer.hr/across?@=2bx77#news_63145. 

 

sincerely yours,

 

ivan petrovic

 

------------------------------------------------------------------------

professor ivan petrovic, coordinator of the across research centre

 

university of zagreb

faculty of electrical engineering and computing 

department of control and computer engineering 

unska 3, hr-10000 zagreb, croatia

phone: +3851/6129-844

fax: +3851/6129-809

url: http://across.fer.unizg.hr <http://across.fer.unizg.hr/> 

url: http://www.fer.unizg.hr/ivan.petrovic <http://www.fer.hr/ivan.petrovic> 

mailto: ivan.petrovic at fer.hr <mailto:ivan.petrovic at fer.hr> 

------------------------------------------------------------------------"
1600,2013,[2 x job advert] postdoctoral fellow and research assistant in food technology (trainable vision-based anomaly detection and diagnosis),"the university of lincoln, uk, is seeking to appoint a new postdoctoral
research fellow (fixed term for 2 years) and a new research assistant
(fixed term for 2.5 years) to join the recently established centre for
autonomous systems (l-cas) in the school of computer science. the
successful candidates will be employed as part of a collaborative
project funded by the uk technology strategy board with partners
including ishida europe ltd, the university of lincoln, branston ltd.,
and the agriculture and horticulture development board. the project will
lead to safer food, less waste, more efficient food production and
better use of natural resources.

the postdoctoral research fellowship is focussed in the area of
""trainable vision-based anomaly detection and 3d shape analysis of food
products"". the post-holder will be expected to design, conduct and
manage original research, with application to quality control (qc) tasks
across the food supply chain. primary tasks include developing novel
algorithms and approaches for visual analysis of food products and
packaging, using a range of imaging technologies to be evaluated in the
project. scientific challenges to be addressed include 2d and 3d shape
analysis of food products, as well as exploiting colour and texture
features. candidates should ideally possess a phd in computer vision, 3d
imaging or a related subject. for further information and online
application form:
http://jobs.lincoln.ac.uk/vacancy.aspx?ref=mht191a
(closing date: sunday 10 february 2013)

the research assistant position is focussed in the area of ""trainable
vision-based anomaly detection and diagnosis of food products"". the
post-holder will be expected to conduct industrially-relevant research
and development in the area of vision-based anomaly detection and
diagnosis, with application to quality control (qc) tasks across the
food supply chain. primary tasks include developing a range of software
algorithms and approaches for visual analysis of food products and
packaging, using a variety of imaging technologies to be evaluated in
the project. research challenges to be addressed include real-time
detection of faulty food products, development of user-friendly
interfaces for qc staff in the food industry, and development of a
prototype system for visual analysis of food products. the post-holder
would also have the possibility to register for and undertake a phd in
parallel with the planned developments.
http://jobs.lincoln.ac.uk/vacancy.aspx?ref=mht192a
(closing date: sunday 10 february 2013)

informal enquiries can also be made to dr tom duckett (email:
tduckett at lincoln.ac.uk).

--
dr. tom duckett
reader in computer science
university of lincoln
brayford pool
lincoln
ln6 7ts
phone: +44 1522 837113
fax: +44 1522 886974

the university of lincoln - a top performer in student satisfaction, enjoying an unrivalled ascent through the university league tables, set in a dynamic, research rich and vibrant campus in the heart of a great historic student-friendly city.

the information in this e-mail and any attachments may be confidential. if you have received this email in error please notify the sender immediately and remove it from your system. do not disclose the contents to another person or take copies.
 
email is not secure and may contain viruses. the university of lincoln makes every effort to ensure email is sent without viruses, but cannot guarantee this and recommends recipients take appropriate precautions.
 
the university may monitor email traffic data and content in accordance with its policies and english law. further information can be found at: http://www.lincoln.ac.uk/legal."
1601,2013,[job advert] 2 postdoc and 1 phd in persistent slam and cognitive control for long-term autonomy,"the university of lincoln, uk, is seeking to appoint two new
postdoctoral research fellows (fixed term for 4 years) and one phd
student to join the recently established centre for autonomous systems
(l-cas). the centre is internationally recognised for its research in
sensing, mapping, and control for autonomous robotic systems, and
currently comprises 6 faculty staff and 14 post-graduate researchers.
the successful candidates will be employed as part of a european
collaborative project, involving six academic institutes and two
industrial partners across four european countries.

the fp7-funded project strands ""spatio-temporal representations and
activities for cognitive control in long-term scenarios"" aims to enable
robots to achieve robust and intelligent behaviour in human environments
through adaptation to, and the exploitation of, long-term experience.
the approach is based on understanding 3d space and how it changes over
time, from milliseconds to months. the project will develop novel
approaches to extract quantitative and qualitative spatio-temporal
structure from sensor data gathered during months of autonomous
operation. the project will also develop control mechanisms which
exploit these structures to yield adaptive behaviour in highly
demanding, real-world security and care scenarios.

postdoctoral research fellowship 1 is focussed in the area of long-term
3d mapping/slam for enabling activity and scene understanding by
autonomous mobile robots (closing date: sunday 20 january 2013). for
further information and online application form:
http://jobs.lincoln.ac.uk/vacancy.aspx?ref=mht209

postdoctoral research fellowship 2 is focussed in the area of behaviour
generation and control to facilitate life-long learning of activities
and dynamic scenes by autonomous mobile robots (closing date: sunday 20
january 2013). for further information and online application form:
http://jobs.lincoln.ac.uk/vacancy.aspx?ref=mht208

a phd studentship is also offered, focussed in the area of adaptive
motion by mobile service robots in the presence of humans during
long-term operations(closing date: sunday 27 january 2013). for further
information and application details:
http://robots.lincoln.ac.uk/files/2012/12/advert-strands-phd-studentship
.pdf

informal enquiries about all posts can be made to dr marc hanheide
(email: mhanheide at lincoln.ac.uk) and dr tom duckett (email:
tduckett at lincoln.ac.uk).

--
dr. tom duckett
reader in computer science
university of lincoln
brayford pool
lincoln
ln6 7ts
phone: +44 1522 837113
fax: +44 1522 886974

the university of lincoln - a top performer in student satisfaction, enjoying an unrivalled ascent through the university league tables, set in a dynamic, research rich and vibrant campus in the heart of a great historic student-friendly city.

the information in this e-mail and any attachments may be confidential. if you have received this email in error please notify the sender immediately and remove it from your system. do not disclose the contents to another person or take copies.
 
email is not secure and may contain viruses. the university of lincoln makes every effort to ensure email is sent without viruses, but cannot guarantee this and recommends recipients take appropriate precautions.
 
the university may monitor email traffic data and content in accordance with its policies and english law. further information can be found at: http://www.lincoln.ac.uk/legal."
1602,2013,aldebaran robotics is recruiting a repair & support engineer in boston,"aldebaran robotics
www.aldebaran-robotics.com

robotics repair and support engineer, americas region (based in boston)

aldebaran robotics is a fast-growing, paris-based company with 240
employees and a mission to create interactive robots for the development
and well-being of humans.  aldebaran’s nao humanoid robot was named the
best robot for education, as judged by the robot hall of fame and carnegie
mellon university.  over 3,000 naos are in service at universities,
research centers and high schools around the world, used primarily as a
research and teaching platform for computer science, robotics, mathematics
and other disciplines.

occasionally our robots need maintenance and repair and our users need
support, and our rapidly-growing installed base requires that we hire
additional technical resources at our boston office.

primary function:
·      you will make repairs to nao humanoid robots, ranging from changing
gears and rewiring cables to replacing complex structures
·      you will also assist with technical training sessions for
distributors and end-customers
·      you will provide assistance at trade shows and special events,
including execution of multi-robot demonstrations and shows
·      you will interact with the global repair community, including
sharing advice on repair techniques and seeking advice when required
·      depending on abilities and needs, you will also provide software
support.

requirements:
·      bachelors degree in electrical/computer engineering, computer
science, or a related discipline
·      technical robotics experience
·      electronics experience, including soldering
·      troubleshooting and critical thinking skills
·      familiarity with unix/linux-based operating systems
·      programming experience, especially python and c++
·      an understanding of the different technologies embedded in the robot
(visual and audio sensors, motors, sonar, etc.)
·      oral and written communication skills to explain complex technical
problems and solutions
·      desire to help customers with their technical issues
·      teamwork skills to succeed in a young and fast-paced environment
·      ability to lift up to 45 lbs.
·      comfortable working in an office space that’s relatively confined
·      french language skills a plus

position is open immediately, full-time and salaried with a competitive
benefits package, based in boston at the aldebaran offices in the south end
(congress street).

please send resume and letter of motivation to:
andrew stout (astout at aldebaran-robotics.com) and
eric stevenson (estevenson at aldebaran-robotics.com)

-- 
andrew stout

field application robotics engineer - aldebaran robotics
email: astout at aldebaran-robotics.com
phone (google voice): (760) 9 dev nao == (760) 933-8626
374 congress st, suite 507, boston ma 02210"
1603,2013,autonomous automobile research: multiple postdoc and engineering positions open,"a new autonomous vehicle research effort is now underway at the university
of michigan with the goal of developing technologies to support autonomous,
semi-autonomous, and active safety systems for full-sized automobiles. this
project is being led by prof. ryan eustice and prof. edwin olson, and is
seeking additional team members at the post-doc level and research engineer
positions. positions are available immediately, and will remain open until
filled. the project duration is 2-3 years.

post-doc positions: applicants with a demonstrated research record in robot
perception, state estimation, mapping, motion planning, or a related field
are sought to help develop novel approaches. it is envisioned that most
applicants will have a phd in computer science, though this is not a strict
requirement. ideal applicants will have practical ""hands-on""
system-building experience, including performance-sensitive software
development. the post-docs will also help mentor and supervise phd students
on the project. post-doc positions will provide significant opportunities
for career development, including research and publishing. applicants
should clearly enunciate their career objectives, research interests, and
their current skills that are applicable to the project.

research engineer positions: we are also seeking engineering personnel who
will be focused on day-to-day software development,
software/electrical/mechanical integration, vehicle testing, etc. ideal
applicants will have a demonstrated research record in robot perception,
state estimation, mapping, motion planning, or a related field and will
be be comfortable with one or more of the following: software development,
mechanical fabrication, circuit-board manufacturing/soldering/debugging,
emi mitigation, linux system administration, etc. extensive debugging
skills and experience, as exemplified by other ""real-world"" robotics
projects, are highly valued. in most cases, applicants should have a solid
background in performance-sensitive software development. applicants should
clearly enunciate their practical experience, and their current skills that
are applicable to the project. positions are available for applicants at a
variety of levels, from bs to phd, with commensurate salary.

to inquire about a position, please send a cover letter indicating what
type of position you are interested in, and a description of your
qualifications. all applicants should include a cv. postdoc applicants
should include a research statement with links to recent publications;
research engineer applicants should do the same where applicable. due to
the volume of applicants anticipated, we may not be able to individually
respond to each application. applicants will be contacted regarding
interviews within three weeks of submission.

please send materials to:
  ebolson at umich.edu   and  eustice at umich.edu

with the subject line ""ngv application: [post-doc or engineer]"".

thanks!

-- 
edwin olson
assistant professor, university of michigan
http://april.eecs.umich.edu"
1604,2013,engineering positions available at nest labs,"nest labs (http://www.nest.com) is building technology for a better living
environment at home. we are looking for people with robotics, controls,
sensors, signals and systems, machine learning, multi-agents, computer
vision, or human-machine interface backgrounds who are interested in being
part of a fast moving startup considered one of the hottest companies in
silicon valley.

nest labs founders are tony fadell, a godfather of the ipod, and matt
rogers, who shipped numerous versions of ipod/iphone. the nest labs
technology is led by yoky matsuoka, previously a faculty member at cmu and
university of washington working at the intersection of robotics and
neuroscience (and yes, this kind of background is perfect for working at
nest).

example skills/tool exposure we are looking for:
strong quantitative skills and experience with matlab, r, or equivalent
tools for simulation or data analysis/visualization.
extensive knowledge of c/c++ or python.
experience working with real hardware for controls, data
collection/visualization/validation, continuous signal processing, image
analysis, and modeling
no requirement for prior exposure or knowledge in home technology,
heating/cooling devices, building science, etc.

to learn more about:
user experience: http://www.nest.com/living-with-nest/
motivation and how we save energy: http://www.nest.com/saving-energy/
learning features: http://www.nest.com/inside-and-out/
reviews and awards: http://www.nest.com/reviews/

if you are interested in working at nest, contact jose cong <
jose at nestlabs.com>."
